Customer_ID,Tanggal_Transaksi,Menu,Qty,Harga_Satuan,Total_Transaksi
C0122,2025-05-08,Tea Herbal,3,25000,75000
C0101,2025-05-21,Tea Herbal,4,25000,100000
C0054,2025-06-19,Shake Vanilla,6,25000,150000
C0058,2025-06-08,Aloe Concentrate,5,25000,125000
C0067,2025-05-31,Formula 1,4,30000,120000
C0202,2025-02-10,Fiber Drink,1,34000,34000
C0039,2025-06-15,Tea Herbal,5,25000,125000
C0105,2025-05-19,Aloe Concentrate,4,25000,100000
C0015,2025-06-20,Fiber Drink,8,34000,272000
C0133,2025-05-05,Shake Vanilla,2,25000,50000
C0067,2025-06-10,Shake Vanilla,4,25000,100000
C0137,2025-04-28,Formula 1,3,30000,90000
C0054,2025-06-14,Formula 1,5,30000,150000
C0044,2025-06-09,Shake Vanilla,6,25000,150000
C0077,2025-06-09,Multivitamin,4,25000,100000
C0043,2025-06-20,Aloe Concentrate,6,25000,150000
C0011,2025-06-17,Tea Herbal,8,25000,200000
C0112,2025-05-20,Formula 1,3,30000,90000
C0098,2025-05-28,Protein Bar,4,35000,140000
C0061,2025-06-06,Formula 1,5,30000,150000
C0011,2025-06-25,Shake Vanilla,7,25000,175000
C0177,2025-03-30,Aloe Concentrate,2,25000,50000
C0098,2025-05-27,Formula 1,4,30000,120000
C0104,2025-05-14,Multivitamin,3,25000,75000
C0043,2025-06-15,Shake Vanilla,6,25000,150000
C0051,2025-06-19,Shake Chocolate,6,25000,150000
C0007,2025-06-20,Shake Vanilla,8,25000,200000
C0015,2025-06-18,Fiber Drink,8,34000,272000
C0036,2025-06-22,Shake Vanilla,6,25000,150000
C0097,2025-05-18,Tea Herbal,4,25000,100000
C0020,2025-06-18,Multivitamin,7,25000,175000
C0118,2025-05-23,Shake Vanilla,3,25000,75000
C0023,2025-06-29,Shake Vanilla,7,25000,175000
C0046,2025-06-05,Shake Chocolate,6,25000,150000
C0122,2025-05-14,Shake Vanilla,3,25000,75000
C0157,2025-04-08,Formula 1,1,30000,30000
C0032,2025-06-11,Aloe Concentrate,5,25000,125000
C0088,2025-05-18,Multivitamin,4,25000,100000
C0108,2025-05-27,Tea Herbal,3,25000,75000
C0030,2025-06-12,Aloe Concentrate,5,25000,125000
C0067,2025-05-30,Formula 1,4,30000,120000
C0023,2025-06-30,Protein Bar,8,35000,280000
C0017,2025-06-24,Aloe Concentrate,7,25000,175000
C0023,2025-06-26,Aloe Concentrate,8,25000,200000
C0108,2025-05-22,Protein Bar,4,35000,140000
C0124,2025-05-09,Shake Vanilla,3,25000,75000
C0023,2025-06-25,Tea Herbal,8,25000,200000
C0124,2025-05-04,Shake Vanilla,3,25000,75000
C0066,2025-06-07,Fiber Drink,4,34000,136000
C0020,2025-06-22,Shake Chocolate,7,25000,175000
C0121,2025-05-01,Shake Chocolate,3,25000,75000
C0104,2025-05-18,Aloe Concentrate,4,25000,100000
C0049,2025-06-21,Tea Herbal,6,25000,150000
C0010,2025-06-21,Protein Bar,7,35000,245000
C0002,2025-06-30,Tea Herbal,8,25000,200000
C0023,2025-06-18,Fiber Drink,8,34000,272000
C0045,2025-06-07,Tea Herbal,5,25000,125000
C0054,2025-06-14,Formula 1,5,30000,150000
C0016,2025-06-21,Multivitamin,8,25000,200000
C0020,2025-06-22,Multivitamin,8,25000,200000
C0132,2025-04-29,Fiber Drink,2,34000,68000
C0030,2025-06-12,Protein Bar,6,35000,210000
C0010,2025-06-27,Shake Vanilla,7,25000,175000
C0045,2025-06-06,Formula 1,5,30000,150000
C0093,2025-05-19,Protein Bar,3,35000,105000
C0101,2025-05-28,Aloe Concentrate,4,25000,100000
C0027,2025-06-13,Shake Vanilla,5,25000,125000
C0012,2025-06-19,Shake Chocolate,7,25000,175000
C0054,2025-06-06,Multivitamin,5,25000,125000
C0096,2025-05-30,Shake Vanilla,4,25000,100000
C0142,2025-05-07,Shake Vanilla,2,25000,50000
C0024,2025-06-19,Formula 1,8,30000,240000
C0015,2025-06-16,Fiber Drink,7,34000,238000
C0029,2025-06-19,Formula 1,6,30000,180000
